What is your age group?,"What is your current year of study?
","How well do you understand what mental health means?
",What do you think mental health is related to?,"Do you think mental health is as important as physical health?
","Do you think anyone can experience mental-health difficulties?
","Do you know where a student can get help if they are facing emotional or mental difficulties?
","If you are feeling emotionally upset or stressed, would you talk to someone?
","Who would you feel comfortable talking to when you have a problem?
","What makes it difficult for students to talk about their mental health?
","Do you think students need more mental-health awareness in college/school?
",How often do you feel overwhelmed by your daily responsibilities?,"How often do you feel emotionally tired?
","How supported do you feel by the people around you?
","What usually helps you when you are having a difficult day?
","How much academic pressure do you usually feel?
","How many hours do you usually sleep per night?
","Approximately how much screen time do you have per day?
","How often do you participate in physical activity or exercise?
","In your own words, what does good mental health mean to you?
","What do you wish parents or teachers understood better about students' mental health?
","What do you think students need to improve mental-health awareness?
"
17 - 18,Second Year,1,Emotions,No,No,No,No,Friend,Family may not understand,No,1,3,2,Listening to music,3,Less than 5 hours,6–8 hours,Never,Good nature ,,
22-24,Other,2,How we handle problems,No,Not sure,No,No,Parents/Family,Fear of being judged,No,2,1,2,Listening to music;Rest/sleep,3,Less than 5 hours,Less than 2 hours,Rarely,,,
25-27,Other,1,Thoughts and feelings,No,Not sure,Yes,Yes,Teacher;No one,Fear of being judged,Yes,1,3,2,Listening to music;Exercise,1,7–8 hours,Less than 2 hours,Never,,,No
19-21,Second Year,1,Emotions,No,Yes,No,Yes,Parents/Family,Fear of being judged;Nothing makes it difficult,Yes,2,2,2,Talking to someone,2,7–8 hours,4–6 hours,Rarely,,,
17 - 18,First Year,1,Emotions,No,No,No,No,Teacher;No one,Fear of being judged,Yes,2,2,1,Talking to someone,4,6–7 hours,Less than 2 hours,Never,,,
22-24,Second Year,1,Emotions,No,Yes,No,No,Friend,Feeling shy or uncomfortable,Yes,1,1,1,Listening to music,1,6–7 hours,4–6 hours,1–2 days a week,,,
25-27,Other,1,Thoughts and feelings,No,No,Not sure,No,Parents/Family,Family may not understand,No,4,3,3,Hobbies,1,7–8 hours,4–6 hours,1–2 days a week,,,
19-21,Second Year,2,Thoughts and feelings,Yes,No,Yes,No,Parents/Family,Feeling shy or uncomfortable,Yes,1,1,1,Hobbies,1,5–6 hours,Less than 2 hours,Never,,,
17 - 18,Second Year,4,Thoughts and feelings,No,No,Yes,Yes,Counsellor,Fear of being judged,No,2,1,1,Taking a break,1,Less than 5 hours,4–6 hours,3–4 days a week,,,
22-24,Third Year,4,Relationships with others,No,No,No,Yes,Friend,Fear of being judged,No,3,2,1,Talking to someone;Spending time with friends/family,1,5–6 hours,2–4 hours,3–4 days a week,,,
